식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,sqgj6529,2024-03-02T10:02:58,DIGITAL_WALLET,대전광역시 중구,,
2,ltgu6723,2024-03-07T13:38:12,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
3,nkoc1576,2024-03-13T13:25:49,DIGITAL_WALLET,대구광역시 동구,,
4,qnld8694,2024-03-14T17:09:20,DIGITAL_WALLET,경기도 수원시 장안구,,
5,qkbz3640,2024-03-24T12:45:39,DIGITAL_WALLET,서울특별시 양천구,,
6,iuzq8597,2024-03-24T16:21:00,DIGITAL_WALLET,경기도 구리시,,
7,zuxe2310,2024-03-25T11:53:28,CREDIT_OR_DEBIT_CARD,부산광역시 수영구,,
8,bnkw1585,2024-03-26T14:03:35,DEPOSIT_WITHOUT_PASSBOOK,전라남도 담양군,,
9,dash5024,2024-03-28T11:45:14,DIGITAL_WALLET,경기도 용인시 처인구,,
10,ojsv2401,2024-03-29T13:01:49,CREDIT_OR_DEBIT_CARD,경기도 군포시,,
