식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,hyov8570,2023-02-05T07:00:00,DIGITAL_WALLET,경기도 용인시 수지구,,
2,lrln7946,2023-02-05T08:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 중구,,
3,fcft2231,2023-02-05T09:00:00,DIGITAL_WALLET,대구광역시 서구,,
4,wbcp4294,2023-02-15T07:00:00,DIGITAL_WALLET,서울특별시 강북구,,
5,wryc8546,2023-02-15T08:00:00,CREDIT_OR_DEBIT_CARD,경상북도 상주,,
6,grwm7726,2023-02-15T09:00:00,CREDIT_OR_DEBIT_CARD,대구광역시 수성구,,
7,fwse4552,2023-02-20T15:00:00,DIGITAL_WALLET,부산광역시 남구,,
8,jnbk0432,2023-02-20T16:00:00,DIGITAL_WALLET,서울특별시 마포구,,
9,gktz4339,2023-02-20T17:00:00,DIGITAL_WALLET,경기도 용인시 처인구,,
10,ztyo5367,2023-02-20T18:00:00,DIGITAL_WALLET,서울특별시 광진구,,
11,ajeg8897,2023-02-20T19:00:00,CREDIT_OR_DEBIT_CARD,경기도 고양시 덕양구,,
12,cmij9953,2023-02-20T20:00:00,CREDIT_OR_DEBIT_CARD,경기도 용인시 수지구,,
13,wquw3004,2023-02-25T08:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 강남구,,
14,yiju8658,2023-02-25T09:00:00,DIGITAL_WALLET,충청북도 충주시,,
15,vyhb0342,2023-02-25T11:00:00,DIGITAL_WALLET,부산광역시 연제구,,
