식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,yzgg8163,2023-09-03T07:00:00,DIGITAL_WALLET,경상남도 진주시,,
1,yzgg8163,2023-09-03T07:00:00,DIGITAL_WALLET,경상남도 진주시,,
2,dgfy5150,2023-09-03T09:00:00,CREDIT_OR_DEBIT_CARD,대전광역시 대덕구,,
3,dleo0485,2023-09-03T10:00:00,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
4,nuvb3633,2023-09-03T11:00:00,DEPOSIT_WITHOUT_PASSBOOK,경기도 성남시 중원구,,
5,dvdu1716,2023-09-03T12:00:00,DIGITAL_WALLET,서울특별시 강남구,,
6,qhrl4038,2023-09-03T13:00:00,DIGITAL_WALLET,경기도 고양시 덕양구,,
7,acmv3428,2023-09-03T15:00:00,DIGITAL_WALLET,경기도 시흥시,,
7,acmv3428,2023-09-03T15:00:00,DIGITAL_WALLET,경기도 시흥시,,
8,kbuu7410,2023-09-03T16:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 동구,,
9,mjfu3552,2023-09-03T18:00:00,DIGITAL_WALLET,서울특별시 은평구,,
10,vclx1289,2023-09-03T21:00:00,DIGITAL_WALLET,서울특별시 용산구,,
10,vclx1289,2023-09-03T21:00:00,DIGITAL_WALLET,서울특별시 용산구,,
10,vclx1289,2023-09-03T21:00:00,DIGITAL_WALLET,서울특별시 용산구,,
11,okbf9900,2023-09-07T07:00:00,DEPOSIT_WITHOUT_PASSBOOK,부산광역시 강서구,,
12,ixlo2133,2023-09-07T08:00:00,DIGITAL_WALLET,경기도 남양주시,,
13,gptj7549,2023-09-07T09:00:00,CREDIT_OR_DEBIT_CARD,경기도 군포시,,
14,dnjm5194,2023-09-07T10:00:00,DIGITAL_WALLET,서울특별시 양천구,,
15,chdz1339,2023-09-07T11:00:00,DIGITAL_WALLET,부산광역시 사하구,,
15,chdz1339,2023-09-07T11:00:00,DIGITAL_WALLET,부산광역시 사하구,,
16,cgwo1398,2023-09-07T13:00:00,DIGITAL_WALLET,경기도 남양주시,,
17,kwrk0520,2023-09-07T15:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 광진구,,
18,mslv3095,2023-09-07T16:00:00,DIGITAL_WALLET,서울특별시 성북구,,
19,hfed9055,2023-09-07T17:00:00,DIGITAL_WALLET,대전광역시 대덕구,,
20,ilis1394,2023-09-07T18:00:00,DIGITAL_WALLET,경기도 고양시 덕양구,,
21,uwlk7199,2023-09-07T19:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 금천구,,
22,sfcm9145,2023-09-07T20:00:00,DIGITAL_WALLET,서울특별시 성북구,,
23,cufa6486,2023-09-12T07:00:00,DIGITAL_WALLET,대전광역시 대덕구,,
24,oejj2038,2023-09-12T08:00:00,DIGITAL_WALLET,대구광역시 북구,,
25,mwff2019,2023-09-12T09:00:00,DIGITAL_WALLET,서울특별시 광진구,,
26,chns1006,2023-09-12T10:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 연제구,,
27,clbh7165,2023-09-12T11:00:00,CREDIT_OR_DEBIT_CARD,대구광역시 달성군,,
27,clbh7165,2023-09-12T11:00:00,CREDIT_OR_DEBIT_CARD,대구광역시 달성군,,
28,pgjr0992,2023-09-12T13:00:00,DIGITAL_WALLET,서울특별시 양천구,,
29,tisu9681,2023-09-16T07:00:00,CREDIT_OR_DEBIT_CARD,전라북도 김제시,,
30,pgjr0992,2023-09-16T08:00:00,DIGITAL_WALLET,대전광역시 대덕구,,
31,jnnr2912,2023-09-16T09:00:00,DIGITAL_WALLET,경기도 시흥시,,
32,zkoa0034,2023-09-16T10:00:00,DIGITAL_WALLET,대구광역시 중구,,
33,mtej8449,2023-09-16T11:00:00,CREDIT_OR_DEBIT_CARD,대구광역시 중구,,
33,mtej8449,2023-09-16T11:00:00,CREDIT_OR_DEBIT_CARD,대구광역시 중구,,
34,lhbm2947,2023-09-16T15:00:00,DIGITAL_WALLET,강원도 원주시,,
34,lhbm2947,2023-09-16T15:00:00,DIGITAL_WALLET,강원도 원주시,,
35,kqjt1663,2023-09-16T16:00:00,DIGITAL_WALLET,서울특별시 양천구,,
36,kuul8318,2023-09-16T17:00:00,CREDIT_OR_DEBIT_CARD,대구광역시 중구,,
37,pndm4571,2023-09-16T18:00:00,DEPOSIT_WITHOUT_PASSBOOK,경기도 고양시 덕양구,,
38,yfww8503,2023-09-16T19:00:00,DIGITAL_WALLET,경기도 용인시 기흥구,,
39,joie6557,2023-09-16T20:00:00,CREDIT_OR_DEBIT_CARD,경기도 성남시 수정구,,
40,itfu5367,2023-09-16T21:00:00,DIGITAL_WALLET,대구광역시 동구,,
41,uaaa0676,2023-09-20T07:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 동구,,
41,uaaa0676,2023-09-20T07:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 동구,,
41,uaaa0676,2023-09-20T07:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 동구,,
42,wfqj3073,2023-09-20T10:00:00,DIGITAL_WALLET,부산광역시 사하구,,
43,vwyp0343,2023-09-20T13:00:00,DIGITAL_WALLET,전라북도 군산시,,
43,vwyp0343,2023-09-20T13:00:00,DIGITAL_WALLET,전라북도 군산시,,
44,mgeo0096,2023-09-20T13:00:00,DIGITAL_WALLET,부산광역시 부산진구,,
45,blxv2486,2023-09-25T13:00:00,CREDIT_OR_DEBIT_CARD,충청북도 제천시,,
46,kfxz4059,2023-09-25T15:00:00,DIGITAL_WALLET,부산광역시 영도구,,
47,onry9233,2023-09-25T16:00:00,DIGITAL_WALLET,전라북도 남원시,,
48,lldq2569,2023-09-25T17:00:00,DIGITAL_WALLET,서울특별시 관악구,,
49,uqzw5729,2023-09-25T18:00:00,CREDIT_OR_DEBIT_CARD,경기도 동두천시,,
