식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,csft6832,2024-07-01T14:45:04,CREDIT_OR_DEBIT_CARD,부산광역시 동구,,
2,jqmi6480,2024-07-02T11:10:05,DIGITAL_WALLET,경기도 동두천시,,
3,cmcj7661,2024-07-02T12:06:53,DEPOSIT_WITHOUT_PASSBOOK,경기도 안산시 상록구,,
4,dwmp4485,2024-07-02T12:36:10,DIGITAL_WALLET,대전광역시 중구,,
5,tloy6261,2024-07-02T14:13:31,DIGITAL_WALLET,대전광역시 서구,,
6,jaem3957,2024-07-02T16:52:13,DIGITAL_WALLET,경기도 김포시,,
7,nkaf0085,2024-07-03T18:09:21,CREDIT_OR_DEBIT_CARD,광주광역시 동구,,
8,ydpb2033,2024-07-04T08:34:57,CREDIT_OR_DEBIT_CARD,경기도 포천시,,
9,kvpc8475,2024-07-04T15:18:42,DEPOSIT_WITHOUT_PASSBOOK,경기도 부천시,,
10,bbph9490,2024-07-04T17:40:02,DIGITAL_WALLET,서울특별시 성북구,,
11,jloi8119,2024-07-08T09:43:26,CREDIT_OR_DEBIT_CARD,부산광역시 서구,,
12,hhma5018,2024-07-09T08:04:01,DIGITAL_WALLET,서울특별시 영등포구,,
13,bbiz1858,2024-07-09T13:34:25,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
14,zalw8853,2024-07-09T15:04:30,CREDIT_OR_DEBIT_CARD,경기도 파주시,,
15,zzis9181,2024-07-09T18:39:34,DIGITAL_WALLET,서울특별시 관악구,,
16,eorm9314,2024-07-10T09:25:51,CREDIT_OR_DEBIT_CARD,광주광역시 광산구,,
17,xwft7360,2024-07-10T13:14:36,CREDIT_OR_DEBIT_CARD,경상남도 창원시,,
18,jtvq3643,2024-07-10T18:45:44,CREDIT_OR_DEBIT_CARD,서울특별시 은평구,,
19,bojv0895,2024-07-12T11:51:08,DEPOSIT_WITHOUT_PASSBOOK,부산광역시 수영구,,
20,itpa6682,2024-07-12T15:25:47,CREDIT_OR_DEBIT_CARD,서울특별시 성동구,,
21,xmwa0012,2024-07-12T16:04:45,DIGITAL_WALLET,서울특별시 금천구,,
22,haze4591,2024-07-12T16:36:50,DIGITAL_WALLET,광주광역시 남구,,
23,ylad7527,2024-07-12T18:35:15,CREDIT_OR_DEBIT_CARD,서울특별시 노원구,,
24,zpjc5123,2024-07-13T10:37:34,DIGITAL_WALLET,서울특별시 성북구,,
25,ybfi8878,2024-07-13T11:19:08,CREDIT_OR_DEBIT_CARD,서울특별시 서초구,,
26,bscj7170,2024-07-13T13:45:07,DIGITAL_WALLET,경기도 동두천시,,
27,hrbt9472,2024-07-14T14:14:09,DIGITAL_WALLET,서울특별시 서초구,,
28,kbgs0348,2024-07-16T13:58:02,CREDIT_OR_DEBIT_CARD,대전광역시 대덕구,,
29,fiuq0184,2024-07-16T15:41:04,DIGITAL_WALLET,부산광역시 기장군,,
30,cdld6847,2024-07-17T08:06:13,DEPOSIT_WITHOUT_PASSBOOK,전라북도 무주군,,
31,pipa3306,2024-07-17T10:28:00,DEPOSIT_WITHOUT_PASSBOOK,광주광역시 북구,,
32,wmro4127,2024-07-17T12:09:33,DEPOSIT_WITHOUT_PASSBOOK,경기도 파주시,,
33,hutx0577,2024-07-17T17:21:13,CREDIT_OR_DEBIT_CARD,서울특별시 강북구,,
34,eltb9399,2024-07-17T17:41:42,DIGITAL_WALLET,서울특별시 서대문구,,
35,ggch2034,2024-07-19T14:50:25,CREDIT_OR_DEBIT_CARD,대전광역시 동구,,
36,ymxz0902,2024-07-19T17:59:56,DIGITAL_WALLET,서울특별시 강남구,,
37,wlyo2175,2024-07-20T10:58:26,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
38,tcye9176,2024-07-20T17:07:20,DEPOSIT_WITHOUT_PASSBOOK,경상남도 거제시,,
39,iqwv3786,2024-07-21T14:13:12,DIGITAL_WALLET,서울특별시 금천구,,
40,ycps0628,2024-07-21T18:47:59,CREDIT_OR_DEBIT_CARD,서울특별시 용산구,,
41,znos3419,2024-07-22T09:40:36,DIGITAL_WALLET,경기도 용인시 기흥구,,
42,lnph8389,2024-07-22T11:03:44,DIGITAL_WALLET,대구광역시 동구,,
43,kfja0482,2024-07-22T18:19:27,DEPOSIT_WITHOUT_PASSBOOK,경상북도 봉화군,,
44,tbjn2517,2024-07-23T15:20:32,CREDIT_OR_DEBIT_CARD,경기도 고양시 일산서구,,
45,bvnb9091,2024-07-23T17:37:26,CREDIT_OR_DEBIT_CARD,서울특별시 양천구,,
46,obpu7178,2024-07-28T16:57:52,DIGITAL_WALLET,서울특별시 용산구,,
47,mjdd4089,2024-07-29T09:06:41,DIGITAL_WALLET,경상북도 김천시,,
48,pqjr0520,2024-07-29T16:37:17,DIGITAL_WALLET,경기도 용인시 기흥구,,
49,lenq4998,2024-07-30T14:28:18,CREDIT_OR_DEBIT_CARD,대전광역시 중구,,
50,sqgz6107,2024-07-30T17:42:07,DEPOSIT_WITHOUT_PASSBOOK,대전광역시 유성구,,
