식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,xpvw0194,2023-08-04T07:00:00,DIGITAL_WALLET,서울특별시 송파구,,
2,mesv0349,2023-08-04T08:00:00,DIGITAL_WALLET,서울특별시 도봉구,,
3,ryfs3835,2023-08-04T09:00:00,DIGITAL_WALLET,대전광역시 중구,,
4,yaaz8026,2023-08-04T10:00:00,DIGITAL_WALLET,경기도 김포시,,
5,avjs3487,2023-08-04T11:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 강남구,,
6,lhbm2947,2023-08-04T12:00:00,DIGITAL_WALLET,강원도 원주시,,
7,hsha3060,2023-08-04T15:00:00,DIGITAL_WALLET,서울특별시 서초구,,
8,kpzv4279,2023-08-04T17:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 서구,,
9,wvnq6017,2023-08-04T18:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 성동구,,
10,irsx9966,2023-08-04T19:00:00,DIGITAL_WALLET,부산광역시 사하구,,
11,lvcq1553,2023-08-04T20:00:00,DIGITAL_WALLET,부산광역시 남구,,
12,lzzq9322,2023-08-04T21:00:00,DIGITAL_WALLET,광주광역시 서구,,
13,wptd0783,2023-08-09T07:00:00,CREDIT_OR_DEBIT_CARD,대구광역시 서구,,
14,urck3465,2023-08-09T08:00:00,CREDIT_OR_DEBIT_CARD,경기도 성남시 수정구,,
15,qdya9514,2023-08-09T09:00:00,DIGITAL_WALLET,대전광역시 중구,,
16,lska5036,2023-08-09T10:00:00,DIGITAL_WALLET,서울특별시 영등포구,,
17,ktso8107,2023-08-09T11:00:00,DIGITAL_WALLET,서울특별시 성북구,,
18,yzgg8163,2023-08-09T12:00:00,DIGITAL_WALLET,경상남도 진주시,,
19,npda2562,2023-08-09T13:00:00,CREDIT_OR_DEBIT_CARD,경기도 김포시,,
20,dnit6503,2023-08-09T16:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 도봉구,,
21,ktjz9528,2023-08-09T17:00:00,DIGITAL_WALLET,서울특별시 마포구,,
22,koav0927,2023-08-09T18:00:00,CREDIT_OR_DEBIT_CARD,광주광역시 광산구,,
23,fiip7235,2023-08-09T19:00:00,DIGITAL_WALLET,부산광역시 부산진구,,
24,chuq9837,2023-08-09T20:00:00,DIGITAL_WALLET,대전광역시 대덕구,,
25,fiip7235,2023-08-09T21:00:00,DIGITAL_WALLET,대전광역시 대덕구,,
26,chvk5190,2023-08-14T07:00:00,CREDIT_OR_DEBIT_CARD,대전광역시 동구,,
27,vxzd7081,2023-08-14T08:00:00,CREDIT_OR_DEBIT_CARD,경기도 평택시,,
28,ggwi5675,2023-08-14T10:00:00,DIGITAL_WALLET,전라북도 남원시,,
29,ccfz1275,2023-08-14T12:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 관악구,,
30,fpto1231,2023-08-14T15:00:00,DIGITAL_WALLET,전라북도 부안군,,
31,scfh8990,2023-08-14T17:00:00,DIGITAL_WALLET,대구광역시 달서구,,
32,uwtc6044,2023-08-14T18:00:00,DIGITAL_WALLET,부산광역시 동구,,
33,ntfh2506,2023-08-14T19:00:00,CREDIT_OR_DEBIT_CARD,대전광역시 동구,,
34,zkoa0034,2023-08-14T20:00:00,DIGITAL_WALLET,대구광역시 중구,,
35,mgmv8671,2023-08-14T21:00:00,DIGITAL_WALLET,광주광역시 광산구,,
36,hwdy9757,2023-08-28T07:00:00,DIGITAL_WALLET,경기도 용인시 수지구,,
37,vgwm9647,2023-08-28T08:00:00,CREDIT_OR_DEBIT_CARD,경기도 고양시 일산서구,,
38,xxir2818,2023-08-28T12:00:00,DIGITAL_WALLET,경기도 용인시 처인구,,
39,umcw6166,2023-08-28T13:00:00,DIGITAL_WALLET,서울특별시 동대문구,,
40,umkf1208,2023-08-28T15:00:00,DIGITAL_WALLET,경기도 고양시 덕양구,,
41,bgze1573,2023-08-28T16:00:00,DIGITAL_WALLET,부산광역시 사하구,,
42,joie6557,2023-08-28T17:00:00,CREDIT_OR_DEBIT_CARD,경기도 성남시 수정구,,
43,vmkr3729,2023-08-28T18:00:00,CREDIT_OR_DEBIT_CARD,광주광역시 동구,,
44,irmm2101,2023-08-28T19:00:00,DIGITAL_WALLET,경기도 용인시 수지구,,
45,kwrk0520,2023-08-28T20:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 광진구,,
