식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,blhz5555,2024-11-05T07:00:00,DEPOSIT_WITHOUT_PASSBOOK,경기도 안산시 상록구,,
2,zkns8231,2024-11-05T08:00:00,DIGITAL_WALLET,경기도 군포시,,
3,ahss5117,2024-11-05T09:00:00,DIGITAL_WALLET,전라북도 남원시,,
4,lhbm2947,2024-11-05T10:00:00,DIGITAL_WALLET,강원도 원주시,,
5,idqh3569,2024-11-05T12:00:00,DIGITAL_WALLET,대구광역시 수성구,,
5,idqh3569,2024-11-05T12:00:00,DIGITAL_WALLET,대구광역시 수성구,,
6,xzvc7212,2024-11-06T10:00:00,CREDIT_OR_DEBIT_CARD,경상북도 상주,,
7,czqy6687,2024-11-06T11:00:00,DIGITAL_WALLET,서울특별시 구로구,,
8,zsrc5681,2024-11-06T12:00:00,DIGITAL_WALLET,경기도 안산시 단원구,,
9,zavq4412,2024-11-06T15:00:00,DIGITAL_WALLET,경상남도 사천시,,
10,dleo0485,2024-11-06T17:00:00,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
10,dleo0485,2024-11-06T17:00:00,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
11,vclx1289,2024-11-10T09:00:00,DIGITAL_WALLET,서울특별시 용산구,,
12,eron7118,2024-11-10T10:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 서구,,
13,bkrf2343,2024-11-10T12:00:00,DIGITAL_WALLET,서울특별시 금천구,,
14,urbj8020,2024-11-10T14:00:00,DIGITAL_WALLET,서울특별시 서대문구,,
15,vxzd7081,2024-11-12T15:00:00,DIGITAL_WALLET,경기도 평택시,,
16,mshe6401,2024-11-12T17:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 서대문구,,
17,vwyp0343,2024-11-15T10:00:00,DIGITAL_WALLET,전라북도 군산시,,
18,cmij9953,2024-11-17T07:00:00,CREDIT_OR_DEBIT_CARD,경기도 용인시 수지구,,
19,yuls8015,2024-11-17T12:00:00,DIGITAL_WALLET,서울특별시 관악구,,
20,nyfg4599,2024-11-20T08:00:00,DIGITAL_WALLET,경기도 부천시,,
21,bxfk3696,2024-11-20T09:00:00,DIGITAL_WALLET,광주광역시 광산구,,
22,dgfy5150,2024-11-24T08:00:00,CREDIT_OR_DEBIT_CARD,대전광역시 대덕구,,
23,uyfd3686,2024-11-24T16:00:00,CREDIT_OR_DEBIT_CARD,경기도 수원시 영통구,,
24,depa6456,2024-11-24T17:00:00,DIGITAL_WALLET,서울특별시 동대문구,,
