식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,gxon2563,2023-05-04T07:00:00,DIGITAL_WALLET,충청남도 보령시,,
2,xzvc7212,2023-05-04T08:00:00,CREDIT_OR_DEBIT_CARD,경상북도 상주,,
3,sdop4176,2023-05-06T10:00:00,DIGITAL_WALLET,부산광역시 사하구,,
4,neoz2373,2023-05-06T15:00:00,CREDIT_OR_DEBIT_CARD,경기도 고양시 일산동구,,
5,mgeo0096,2023-05-12T09:00:00,DIGITAL_WALLET,부산광역시 부산진구,,
6,zfcn0541,2023-05-12T10:00:00,DIGITAL_WALLET,대전광역시 유성구,,
7,gywn4747,2023-05-12T15:00:00,DIGITAL_WALLET,서울특별시 서초구,,
8,tisu9681,2023-05-17T10:00:00,CREDIT_OR_DEBIT_CARD,전라북도 김제시,,
9,ibbi6083,2023-05-17T12:00:00,CREDIT_OR_DEBIT_CARD,경기도 성남시 중원구,,
10,lslo0003,2023-05-17T15:00:00,DIGITAL_WALLET,서울특별시 성북구,,
11,dleo0485,2023-05-17T16:00:00,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
12,wryc8546,2023-05-17T17:00:00,CREDIT_OR_DEBIT_CARD,경상북도 상주,,
13,dnjm5194,2023-05-17T20:00:00,DIGITAL_WALLET,서울특별시 양천구,,
14,sdba5611,2023-05-21T10:00:00,DIGITAL_WALLET,경기도 구리시,,
15,avxb1435,2023-05-21T12:00:00,DEPOSIT_WITHOUT_PASSBOOK,대전광역시 대덕구,,
16,tlub6802,2023-05-26T07:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 강남구,,
17,irqw2527,2023-05-26T08:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 관악구,,
18,zkns8231,2023-05-26T10:00:00,DIGITAL_WALLET,경기도 군포시,,
19,onry9233,2023-05-26T15:00:00,DIGITAL_WALLET,전라북도 남원시,,
20,tgut9740,2023-05-26T16:00:00,CREDIT_OR_DEBIT_CARD,충청북도 충주시,,
21,gcsa2043,2023-05-26T17:00:00,DIGITAL_WALLET,광주광역시 동구,,
22,ugtz8976,2023-05-30T10:00:00,DIGITAL_WALLET,서울특별시 노원구,,
23,ighi5253,2023-05-30T12:00:00,DIGITAL_WALLET,대전광역시 중구,,
24,mjfu3552,2023-05-30T16:00:00,DIGITAL_WALLET,서울특별시 은평구,,
