식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,itcd0404,2024-08-01T10:29:50,DIGITAL_WALLET,서울특별시 관악구,,
2,ssbm7823,2024-08-01T18:08:37,DIGITAL_WALLET,경기도 구리시,,
3,nncf8275,2024-08-03T14:40:21,DEPOSIT_WITHOUT_PASSBOOK,충청남도 공주시,,
4,xfza0545,2024-08-04T16:14:07,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
5,dtqo2519,2024-08-05T12:07:46,DIGITAL_WALLET,대구광역시 북구,,
5,dtqo2519,2024-08-05T12:07:46,DIGITAL_WALLET,대구광역시 북구,,
6,sepc8441,2024-08-06T14:11:28,CREDIT_OR_DEBIT_CARD,서울특별시 양천구,,
6,sepc8441,2024-08-06T14:11:28,CREDIT_OR_DEBIT_CARD,서울특별시 양천구,,
7,uiic0011,2024-08-08T14:15:34,DIGITAL_WALLET,서울특별시 관악구,,
8,uset5238,2024-08-09T08:56:50,DIGITAL_WALLET,서울특별시 송파구,,
8,uset5238,2024-08-09T08:56:50,DIGITAL_WALLET,서울특별시 송파구,,
8,uset5238,2024-08-09T08:56:50,DIGITAL_WALLET,서울특별시 송파구,,
9,wnaz0503,2024-08-10T17:59:20,CREDIT_OR_DEBIT_CARD,서울특별시 성북구,,
10,gmpg7828,2024-08-12T14:14:01,CREDIT_OR_DEBIT_CARD,경상북도 안동시,,
11,tjrw0909,2024-08-13T13:15:18,DEPOSIT_WITHOUT_PASSBOOK,충청남도 논산시,,
12,zpem3949,2024-08-14T16:22:43,DIGITAL_WALLET,대전광역시 대덕구,,
13,tcrj1588,2024-08-14T17:10:27,DEPOSIT_WITHOUT_PASSBOOK,광주광역시 북구,,
14,fjea1116,2024-08-14T18:19:35,DIGITAL_WALLET,경기도 포천시,,
15,rmvu4184,2024-08-15T11:20:46,DIGITAL_WALLET,서울특별시 동작구,,
16,hrac9024,2024-08-15T12:01:58,CREDIT_OR_DEBIT_CARD,경기도 고양시 일산동구,,
17,mjfb0889,2024-08-15T12:17:41,DIGITAL_WALLET,서울특별시 양천구,,
18,evdu8620,2024-08-15T14:02:00,DIGITAL_WALLET,부산광역시 사상구,,
19,bytf2582,2024-08-15T17:30:29,CREDIT_OR_DEBIT_CARD,경상북도 상주,,
20,vtem3853,2024-08-16T13:00:31,DIGITAL_WALLET,부산광역시 남구,,
21,yjmm8834,2024-08-17T12:12:54,DIGITAL_WALLET,경기도 군포시,,
22,ptjf9174,2024-08-17T12:36:56,DIGITAL_WALLET,경기도 용인시 기흥구,,
23,eiuh3983,2024-08-17T14:32:15,CREDIT_OR_DEBIT_CARD,서울특별시 노원구,,
23,eiuh3983,2024-08-17T14:32:15,CREDIT_OR_DEBIT_CARD,서울특별시 노원구,,
24,ulfu6827,2024-08-21T10:44:48,CREDIT_OR_DEBIT_CARD,경상남도 진주시,,
25,ytcx8621,2024-08-22T12:43:55,DIGITAL_WALLET,대구광역시 동구,,
26,rixh8006,2024-08-22T17:05:30,DIGITAL_WALLET,서울특별시 동작구,,
27,krur9637,2024-08-22T17:28:32,DEPOSIT_WITHOUT_PASSBOOK,강원도 인제군,,
28,pmsr7051,2024-08-23T11:36:35,CREDIT_OR_DEBIT_CARD,전라남도 순천시,,
29,qbze7543,2024-08-23T16:29:39,DIGITAL_WALLET,경상북도 고령군,,
30,jukk3736,2024-08-23T18:34:38,DIGITAL_WALLET,서울특별시 송파구,,
31,yksp9517,2024-08-25T09:24:00,CREDIT_OR_DEBIT_CARD,경기도 군포시,,
32,bbjb8798,2024-08-26T13:13:48,DIGITAL_WALLET,서울특별시 송파구,,
33,mpil2974,2024-08-26T16:54:51,DIGITAL_WALLET,서울특별시 구로구,,
34,dide8396,2024-08-26T17:24:37,DIGITAL_WALLET,경상남도 거제시,,
35,mchk3852,2024-08-27T08:23:35,DIGITAL_WALLET,경기도 김포시,,
36,hrcs1546,2024-08-27T11:55:33,CREDIT_OR_DEBIT_CARD,서울특별시 강남구,,
37,uwct6519,2024-08-27T16:43:26,DEPOSIT_WITHOUT_PASSBOOK,대전광역시 대덕구,,
38,dget5744,2024-08-27T17:27:54,DIGITAL_WALLET,서울특별시 강남구,,
38,dget5744,2024-08-27T17:27:54,DIGITAL_WALLET,서울특별시 강남구,,
39,etia4076,2024-08-28T14:20:27,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
40,peha5315,2024-08-28T17:12:16,DIGITAL_WALLET,서울특별시 관악구,,
40,peha5315,2024-08-28T17:12:16,DIGITAL_WALLET,서울특별시 관악구,,
40,peha5315,2024-08-28T17:12:16,DIGITAL_WALLET,서울특별시 관악구,,
41,chrz4417,2024-08-31T08:37:17,CREDIT_OR_DEBIT_CARD,부산광역시 기장군,,
42,baqz5139,2024-08-31T11:00:33,CREDIT_OR_DEBIT_CARD,서울특별시 금천구,,
43,vtux0614,2024-08-31T16:33:17,DIGITAL_WALLET,전라남도 영광군,,
44,yozq2333,2024-08-31T17:59:37,DIGITAL_WALLET,경기도 안산시 단원구,,
45,tznd8908,2024-08-31T09:58:29,DEPOSIT_WITHOUT_PASSBOOK,경상북도 경산시,,
45,tznd8908,2024-08-31T09:58:29,DEPOSIT_WITHOUT_PASSBOOK,경상북도 경산시,,
