식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,sdlj5789,2023-12-05T07:00:00,DIGITAL_WALLET,대전광역시 대덕구,,
2,ygja2110,2023-12-05T08:00:00,CREDIT_OR_DEBIT_CARD,광주광역시 북구,,
3,idqh3569,2023-12-05T11:00:00,DIGITAL_WALLET,대구광역시 수성구,,
4,eron7118,2023-12-10T11:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 서구,,
5,yzgg8163,2023-12-10T12:00:00,DIGITAL_WALLET,경상남도 진주시,,
6,fiqq8775,2023-12-12T07:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 서대문구,,
7,foyb5357,2023-12-12T08:00:00,DIGITAL_WALLET,대전광역시 동구,,
8,dnjm5194,2023-12-14T10:00:00,DIGITAL_WALLET,서울특별시 양천구,,
9,lrmz5031,2023-12-16T15:00:00,DIGITAL_WALLET,경상북도 예천군,,
10,hvxa6925,2023-12-20T08:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 남구,,
11,vwyp0343,2023-12-22T15:00:00,DIGITAL_WALLET,전라북도 군산시,,
12,hlop2705,2023-12-22T16:00:00,CREDIT_OR_DEBIT_CARD,경기도 고양시 일산동구,,
13,vyhb0342,2023-12-27T10:00:00,DIGITAL_WALLET,부산광역시 연제구,,
14,nuvb3633,2023-12-27T11:00:00,DEPOSIT_WITHOUT_PASSBOOK,경기도 성남시 중원구,,
15,tjmh8258,2023-12-29T09:00:00,DIGITAL_WALLET,전라북도 무주군,,
16,aqni2028,2023-12-29T12:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 노원구,,
