식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,jnkd5402,2024-06-01T12:12:32,DIGITAL_WALLET,서울특별시 양천구,,
2,xpcf7140,2024-06-01T14:18:01,DIGITAL_WALLET,대전광역시 동구,,
3,bhxh3749,2024-06-02T17:39:54,DIGITAL_WALLET,부산광역시 북구,,
4,nsle8547,2024-06-03T08:39:16,DIGITAL_WALLET,서울특별시 영등포구,,
5,zuam4810,2024-06-03T10:43:05,DIGITAL_WALLET,서울특별시 성북구,,
6,loms2382,2024-06-03T12:32:17,DIGITAL_WALLET,서울특별시 성북구,,
7,ushv6710,2024-06-04T08:53:14,CREDIT_OR_DEBIT_CARD,대구광역시 수성구,,
7,ushv6710,2024-06-04T08:53:14,CREDIT_OR_DEBIT_CARD,대구광역시 수성구,,
8,bypa7974,2024-06-05T12:12:22,DEPOSIT_WITHOUT_PASSBOOK,대전광역시 서구,,
9,xbfz2866,2024-06-06T10:51:13,DIGITAL_WALLET,서울특별시 송파구,,
10,aoml5050,2024-06-06T18:03:38,DIGITAL_WALLET,대구광역시 중구,,
11,kkyh4984,2024-06-07T12:48:14,DIGITAL_WALLET,서울특별시 강북구,,
12,fcde1792,2024-06-08T10:00:24,CREDIT_OR_DEBIT_CARD,대구광역시 달서구,,
13,ojth5817,2024-06-08T10:15:15,DIGITAL_WALLET,서울특별시 동작구,,
13,ojth5817,2024-06-08T10:15:15,DIGITAL_WALLET,서울특별시 동작구,,
13,ojth5817,2024-06-08T10:15:15,DIGITAL_WALLET,서울특별시 동작구,,
14,oplz3806,2024-06-09T18:17:51,DIGITAL_WALLET,부산광역시 금정구,,
15,tuue2079,2024-06-10T15:42:07,CREDIT_OR_DEBIT_CARD,경기도 남양주시,,
16,vlky8212,2024-06-11T13:04:00,DEPOSIT_WITHOUT_PASSBOOK,서울특별시 마포구,,
17,zlip3952,2024-06-11T16:55:26,DIGITAL_WALLET,부산광역시 동구,,
18,zkvm2495,2024-06-12T15:11:57,CREDIT_OR_DEBIT_CARD,대구광역시 중구,,
19,svxu7653,2024-06-13T12:11:01,DIGITAL_WALLET,경기도 평택시,,
20,dgbt4540,2024-06-13T16:34:20,DIGITAL_WALLET,서울특별시 관악구,,
21,kvcd3800,2024-06-14T14:36:30,DIGITAL_WALLET,경기도 성남시 수정구,,
22,jhgk9920,2024-06-15T09:00:58,DIGITAL_WALLET,서울특별시 도봉구,,
23,lvvf9030,2024-06-15T15:40:14,CREDIT_OR_DEBIT_CARD,경기도 고양시 일산서구,,
24,pwkz8876,2024-06-17T15:42:03,DIGITAL_WALLET,서울특별시 금천구,,
25,uxpz5308,2024-06-18T09:16:23,CREDIT_OR_DEBIT_CARD,서울특별시 동작구,,
25,uxpz5308,2024-06-18T09:16:23,CREDIT_OR_DEBIT_CARD,서울특별시 동작구,,
26,gwyj1772,2024-06-20T10:19:51,DEPOSIT_WITHOUT_PASSBOOK,부산광역시 금정구,,
27,uecn2618,2024-06-20T17:14:34,DEPOSIT_WITHOUT_PASSBOOK,대구광역시 북구,,
28,ytyq5423,2024-06-21T16:00:04,DIGITAL_WALLET,서울특별시 강북구,,
29,hqpj9902,2024-06-22T10:28:30,DIGITAL_WALLET,서울특별시 금천구,,
30,qktu5087,2024-06-22T14:30:49,CREDIT_OR_DEBIT_CARD,서울특별시 강북구,,
31,wvko4106,2024-06-22T18:10:15,DEPOSIT_WITHOUT_PASSBOOK,전라북도 김제시,,
32,mthv6535,2024-06-23T08:59:44,DIGITAL_WALLET,서울특별시 관악구,,
32,mthv6535,2024-06-23T08:59:44,DIGITAL_WALLET,서울특별시 관악구,,
32,mthv6535,2024-06-23T08:59:44,DIGITAL_WALLET,서울특별시 관악구,,
33,zhea2429,2024-06-25T17:38:45,DEPOSIT_WITHOUT_PASSBOOK,광주광역시 광산구,,
34,wuex6922,2024-06-26T11:58:24,DEPOSIT_WITHOUT_PASSBOOK,부산광역시 사상구,,
35,pntr5652,2024-06-27T10:05:02,DIGITAL_WALLET,서울특별시 마포구,,
36,vswc2491,2024-06-27T15:33:26,DIGITAL_WALLET,서울특별시 성동구,,
37,szfg9829,2024-06-28T09:14:10,DIGITAL_WALLET,경기도 성남시 중원구,,
38,juhz5609,2024-06-28T10:30:24,CREDIT_OR_DEBIT_CARD,대구광역시 수성구,,
39,zifr6517,2024-06-28T14:23:17,DIGITAL_WALLET,경기도 김포시,,
