식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,blhz5555,2025-01-01T07:00:00,DEPOSIT_WITHOUT_PASSBOOK,경기도 안산시 상록구,,
2,zkns8231,2025-01-03T08:00:00,DIGITAL_WALLET,경기도 군포시,,
3,ahss5117,2025-01-07T09:00:00,DIGITAL_WALLET,전라북도 남원시,,
4,lhbm2947,2025-01-08T10:00:00,DIGITAL_WALLET,강원도 원주시,,
5,idqh3569,2025-01-11T12:00:00,DIGITAL_WALLET,대구광역시 수성구,,
6,xzvc7212,2025-01-15T10:00:00,CREDIT_OR_DEBIT_CARD,경상북도 상주,,
7,czqy6687,2025-01-16T11:00:00,DIGITAL_WALLET,서울특별시 구로구,,
8,zsrc5681,2025-01-16T12:00:00,DIGITAL_WALLET,경기도 안산시 단원구,,
9,zavq4412,2025-01-17T15:00:00,DIGITAL_WALLET,경상남도 사천시,,
10,dleo0485,2025-01-19T17:00:00,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
11,vclx1289,2025-01-23T09:00:00,DIGITAL_WALLET,서울특별시 용산구,,
12,eron7118,2025-01-23T10:00:00,CREDIT_OR_DEBIT_CARD,부산광역시 서구,,
13,bkrf2343,2025-01-24T12:00:00,DIGITAL_WALLET,서울특별시 금천구,,
14,urbj8020,2025-01-26T14:00:00,DIGITAL_WALLET,서울특별시 서대문구,,
15,vxzd7081,2025-01-27T15:00:00,DIGITAL_WALLET,경기도 평택시,,
16,mshe6401,2025-01-29T17:00:00,CREDIT_OR_DEBIT_CARD,서울특별시 서대문구,,
