식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,fimu3711,2024-12-06T17:18:22,DIGITAL_WALLET,경기도 수원시 영통구,,
2,gfzn7012,2024-12-10T11:39:45,DIGITAL_WALLET,서울특별시 송파구,,
3,pmgu7273,2024-12-13T15:17:36,CREDIT_OR_DEBIT_CARD,부산광역시 남구,,
4,hsyp8919,2024-12-17T11:26:20,CREDIT_OR_DEBIT_CARD,충청남도 공주시,,
5,pbiu9647,2024-12-17T12:12:15,DIGITAL_WALLET,경기도 평택시,,
6,qsmr9601,2024-12-17T12:26:38,DIGITAL_WALLET,서울특별시 영등포구,,
7,rzod6964,2024-12-18T11:09:54,DEPOSIT_WITHOUT_PASSBOOK,전라남도 곡성군,,
8,rcmh3829,2024-12-23T16:07:08,CREDIT_OR_DEBIT_CARD,서울특별시 서초구,,
9,hdkh8672,2024-12-24T11:34:45,DIGITAL_WALLET,부산광역시 서구,,
10,nplw5993,2024-12-25T18:57:42,DIGITAL_WALLET,광주광역시 광산구,,
11,hjqc1043,2024-12-26T10:54:50,DIGITAL_WALLET,부산광역시 금정구,,
12,hmap2236,2024-12-27T12:12:08,DEPOSIT_WITHOUT_PASSBOOK,경기도 동두천시,,
13,nswh4274,2024-12-27T12:15:46,DIGITAL_WALLET,경기도 용인시 처인구,,
14,jlnj7898,2024-12-29T13:57:47,DIGITAL_WALLET,서울특별시 금천구,,
