식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,dicy5717,2024-01-01T16:48:13,CREDIT_OR_DEBIT_CARD,대전광역시 중구,,
2,eaay0500,2024-01-07T13:19:40,DIGITAL_WALLET,서울특별시 은평구,,
2,eaay0500,2024-01-07T13:19:40,DIGITAL_WALLET,서울특별시 은평구,,
3,xhke9180,2024-01-12T13:50:01,CREDIT_OR_DEBIT_CARD,경기도 포천시,,
4,updr0081,2024-01-13T18:28:14,DIGITAL_WALLET,서울특별시 동대문구,,
5,nfov8319,2024-01-20T11:12:50,DEPOSIT_WITHOUT_PASSBOOK,경상북도 고령군,,
6,lcok0922,2024-01-20T14:10:56,CREDIT_OR_DEBIT_CARD,부산광역시 북구,,
7,zaqe6608,2024-01-21T08:47:24,CREDIT_OR_DEBIT_CARD,부산광역시 중구,,
8,dmqy6575,2024-01-21T11:18:33,DIGITAL_WALLET,서울특별시 서초구,,
9,zcgq0100,2024-01-22T09:09:44,CREDIT_OR_DEBIT_CARD,대전광역시 유성구,,
10,suze8915,2024-01-24T10:22:10,DEPOSIT_WITHOUT_PASSBOOK,대전광역시 서구,,
11,gjuc4919,2024-01-24T12:32:41,DIGITAL_WALLET,서울특별시 노원구,,
12,lnll7067,2024-01-25T09:02:14,CREDIT_OR_DEBIT_CARD,경기도 수원시 장안구,,
13,xyee4814,2024-01-26T12:29:54,CREDIT_OR_DEBIT_CARD,부산광역시 중구,,
14,ipxx0040,2024-01-28T18:58:56,DIGITAL_WALLET,서울특별시 성동구,,
14,ipxx0040,2024-01-28T18:58:56,DIGITAL_WALLET,서울특별시 성동구,,
15,qqcb7052,2024-01-30T15:10:28,DIGITAL_WALLET,서울특별시 관악구,,
