주문 식별자,상품명,사이즈,수량
1,폴리 캔버스 스니커즈 2cm,250,1
2,아디다스 핸드볼 스페지알 코어 블랙 클리어 핑크 IE5897 FLADEA3U23,240,1
3,반스 올드스쿨 VN000D3HY28,230,1
3,폴리 캔버스 스니커즈 2cm,240,1
4,컨버스 척 70 클래식 로우,230,1
5,캐주얼 스포티 유니크 통굽 운동화,230,1
6,리엔테 레이스업 베이직 워커부츠 5cm,240,1
7,컨버스 척 70 클래식 로우,240,1
8,컨버스 런스타 하이크 OX 로우,240,1
8,리라 캔버스 통굽 퍼안감 스니커즈 4.5cm,240,1
9,에폴디 10cm 에나멜 가보시 통굽 메리제인 스트랩 하이힐,250,2
10,토비 폴딩 롱 부츠,230,1
11,반스 올드스쿨 VN000D3HY28,230,1
12,캐주얼 스포티 유니크 통굽 운동화,230,1
13,뉴욕시티 특양면 맨투맨,S,1
13,밴드 맨투맨 티셔츠,S,1
13,모리 특양면 시바견 맨투맨,S,1
14,아디다스 핸드볼 스페지알 코어 블랙 클리어 핑크 IE5897 FLADEA3U23,240,1
15,푸퍼 패딩 슬립온 HPCV7EFV01,230,1
15,리엔테 레이스업 베이직 워커부츠 5cm,230,1
16,뉴욕시티 특양면 맨투맨,M,2
17,토비 폴딩 롱 부츠,240,1
18,아디다스 핸드볼 스페지알 코어 블랙 클리어 핑크 IE5897 FLADEA3U23,230,1
19,밴드 맨투맨 티셔츠,M,3
20,모리 특양면 시바견 맨투맨,L,1
21,반스 올드스쿨 VN000D3HY28,230,1
22,컨버스 런스타 하이크 OX 로우,240,1
23,리엔테 레이스업 베이직 워커부츠 5cm,240,2
23,캐주얼 스포티 유니크 통굽 운동화,240,2
24,모리 특양면 시바견 맨투맨,L,1
