주문 식별자,상품명,사이즈,수량
1,로타 바시티 자켓,S,1
2,SPID306 라딘 밴딩 린넨 팬츠,M,1
3,라번 웜앤라이트 슬랙스,M,1
4,뉴머닌 부츠,230,1
5,반스 프리미엄 BMX Slip-on 슬립온 리이슈 98 LX,240,1
6,SPID306 라딘 밴딩 린넨 팬츠,L,1
7,소가죽 발레코어 스니커즈 EBAL147511,240,1
7,클레트 12cm 가보시 블랙 가죽 킬힐 구두,230,1
8,마일드 리프트 스니커즈 HPCR3FA305,250,1
8,콜린 데일리 트임넥 니트,FREE,1
9,STEH203 포커스 팝포인트 후드,M,2
10,덕 캔버스 Skate Slip-On 스케이트 슬립온,240,1
11,고프코어 스니커즈 EBAL147110,240,1
12,마일드 리프트 스니커즈 HPCR3FA305,230,1
13,SPID306 라딘 밴딩 린넨 팬츠,S,2
14,코첼 양기모 투웨이 후드 집업,FREE,1
15,다트 미니멀 오버핏 자켓,M,1
16,COMFY.EZ 맥스 워킹화 HPCR5FA312,240,1
17,덕 캔버스 Skate Slip-On 스케이트 슬립온,230,1
18,소가죽 발레코어 스니커즈 EBAL147511,240,1
19,모사르 레이어드 후드 기모 티셔츠,FREE,2
20,COMFY.EZ 맥스 워킹화 HPCR5FA312,250,1
21,다트 미니멀 오버핏 자켓,L,1
22,F21P013 샐리 메리제인 사이드오픈 펌프스,230,1
22,키로프 니트 투웨이 집업,S,1
23,코너스 꽈베기 투웨이 니트집업,FREE,1
24,로타 바시티 자켓,S,1
