주문 식별자,상품명,사이즈,수량
1,케미 와이드 밴딩 팬츠,FREE,1
1,뉴욕시티 특양면 맨투맨,L,1
2,푸퍼 패딩 슬립온 HPCV7EFV01,250,1
3,세미와이드 스트링 스웻 조거팬츠 멜란지그레이,FREE,1
3,러카 링클프리 밴딩 하프 슬랙스,S,1
4,반스 올드스쿨 VN000D3HY28,240,1
5,로스엔젤레스 양털 후드티,M,1
6,로스엔젤레스 양털 후드티,S,1
7,케미 와이드 밴딩 팬츠,FREE,1
7,미첼 루즈핏 밴딩 조거 팬츠,M,1
7,FTLA205 디어 후드 티셔츠,M,1
8,캐주얼 스포티 유니크 통굽 운동화,230,1
8,러카 링클프리 밴딩 하프 슬랙스,S,1
9,푸퍼 패딩 슬립온 HPCV7EFV01,240,1
10,러카 링클프리 밴딩 하프 슬랙스,M,1
11,리본 플랫폼 스니커즈 HPWPDEA901,250,1
11,러카 링클프리 밴딩 하프 슬랙스,M,1
12,폴리 캔버스 스니커즈 2cm,230,1
13,엘토 스트레이트 밴딩 슬랙스,L,1
14,아디다스 핸드볼 스페지알 코어 블랙 클리어 핑크 IE5897 FLADEA3U23,230,1
15,폴리 캔버스 스니커즈 2cm,250,2
16,토비 폴딩 롱 부츠,240,1
17,반스 올드스쿨 VN000D3HY28,230,1
18,밴드 맨투맨 티셔츠,L,2
19,리라 캔버스 통굽 퍼안감 스니커즈 4.5cm,240,1
20,푸퍼 패딩 슬립온 HPCV7EFV01,240,1
21,STEH203 포커스 팝포인트 후드,FREE,1
22,데이브 조거 트레이닝 팬츠,FREE,1
23,엘토 스트레이트 밴딩 슬랙스,S,1
24,FTLA205 디어 후드 티셔츠,S,1
25,FTLA205 디어 후드 티셔츠,S,1
26,토비 폴딩 롱 부츠,240,1
27,리엔테 레이스업 베이직 워커부츠 5cm,230,1
28,엘토 스트레이트 밴딩 슬랙스,S,1
28,미첼 루즈핏 밴딩 조거 팬츠,L,1
29,뉴욕시티 특양면 맨투맨,M,1
30,데이브 조거 트레이닝 팬츠,FREE,1
31,엘토 스트레이트 밴딩 슬랙스,M,1
32,토마스 단가라 라운드 니트,S,1
32,미첼 루즈핏 밴딩 조거 팬츠,L,1
32,러카 링클프리 밴딩 하프 슬랙스,L,1
33,나카다카토 Slip-on 슬립온 리이슈 98 SP LX,230,2
