주문 식별자,상품명,사이즈,수량
1,USA 맨투맨 티셔츠 아이보리,S,1
2,스웨이드 Classic Slip-on 클래식 슬립온,230,1
3,벤디고 윈드 카고 밴딩 조거 팬츠,FREE,1
3,포켓 후드 울 패딩 점퍼,L,1
4,이블렛 데일텐 레이스업 워커 제이스타일,240,1
5,UPSS205 아스터 린넨 밴딩 슬랙스,M,1
6,스웨이드 Classic Slip-on 클래식 슬립온,240,1
7,USA 맨투맨 티셔츠 아이보리,S,1
8,포켓 후드 울 패딩 점퍼,L,1
9,코어클래식 Slip-On 솔리드 슬립온,240,1
10,스웨이드 Classic Slip-on 클래식 슬립온,240,1
11,포켓 후드 울 패딩 점퍼,S,1
12,포켓 후드 울 패딩 점퍼,L,1
13,UPSS205 아스터 린넨 밴딩 슬랙스,L,1
14,MTE Slip-on 슬립온 뮬 TRK 아쿠아슈즈,240,1
14,스웨이드 Classic Slip-on 클래식 슬립온,230,1
14,코어클래식 Slip-On 솔리드 슬립온,240,1
15,이블렛 데일텐 레이스업 워커 제이스타일,230,1
16,UPSS205 아스터 린넨 밴딩 슬랙스,L,1
17,UPSS205 아스터 린넨 밴딩 슬랙스,S,1
17,포켓 후드 울 패딩 점퍼,M,1
18,이블렛 데일텐 레이스업 워커 제이스타일,230,1
19,코어클래식 Slip-On 솔리드 슬립온,240,1
20,UPSS205 아스터 린넨 밴딩 슬랙스,M,1
21,UPSS205 아스터 린넨 밴딩 슬랙스,S,1
22,코어클래식 Slip-On 솔리드 슬립온,230,1
23,UPSS205 아스터 린넨 밴딩 슬랙스,M,1
24,Vans x Vainl Archive 클래식 Slip-on 슬립온,240,1
25,이블렛 데일텐 레이스업 워커 제이스타일,240,1
26,UPSS205 아스터 린넨 밴딩 슬랙스,S,1
26,이블렛 데일텐 레이스업 워커 제이스타일,240,1
27,포켓 후드 울 패딩 점퍼,S,1
28,코어클래식 Slip-On 솔리드 슬립온,230,1
28,포켓 후드 울 패딩 점퍼,S,1
