주문 식별자,상품명,사이즈,수량
1,반스 올드스쿨 VN000D3HY28,240,1
2,올가 샌디애고 후드 티셔츠,L,1
3,리라 캔버스 통굽 퍼안감 스니커즈 4.5cm,240,1
4,미첼 루즈핏 밴딩 조거 팬츠,M,1
5,클래식 라이트 러닝화 HPCR5EA801,230,1
6,밴드 맨투맨 티셔츠,S,1
6,엘토 스트레이트 밴딩 슬랙스,M,2
7,러카 링클프리 밴딩 하프 슬랙스,L,1
7,로스엔젤레스 양털 후드티,M,1
8,세미와이드 스트링 스웻 조거팬츠 멜란지그레이,FREE,1
9,푸퍼 패딩 슬립온 HPCV7EFV01,250,1
10,캐주얼 스포티 유니크 통굽 운동화,230,1
11,FTLA205 디어 후드 티셔츠,M,1
12,나카다카토 Slip-on 슬립온 리이슈 98 SP LX,230,1
13,러카 링클프리 밴딩 하프 슬랙스,S,3
14,리본 플랫폼 스니커즈 HPWPDEA901,230,1
15,USA 맨투맨 티셔츠 아이보리,M,1
16,코듀로이 토캡 스니커즈 HPCR3D403U,240,1
17,FTLA205 디어 후드 티셔츠,L,1
18,USA 맨투맨 티셔츠 아이보리,S,1
19,러카 링클프리 밴딩 하프 슬랙스,M,1
19,클래식 라이트 러닝화 HPCR5EA801,240,1
20,코듀로이 토캡 스니커즈 HPCR3D403U,250,2
21,M5002VB 브로츠와프 오버핏 1020g 워싱 헤비원단 후드 집업 밴타블랙,FREE,1
22,올가 샌디애고 후드 티셔츠,L,1
23,세미와이드 스트링 스웻 조거팬츠 멜란지그레이,FREE,1
24,올가 샌디애고 후드 티셔츠,S,1
25,클래식 라이트 러닝화 HPCR5EA801,230,1
26,푸퍼 패딩 슬립온 HPCV7EFV01,240,1
27,리본 플랫폼 스니커즈 HPWPDEA901,250,1
27,모리 특양면 시바견 맨투맨,S,1
28,리본 플랫폼 스니커즈 HPWPDEA901,230,1
28,올가 샌디애고 후드 티셔츠,M,1
29,올가 샌디애고 후드 티셔츠,S,1
30,FTLA205 디어 후드 티셔츠,L,1
30,리본 플랫폼 스니커즈 HPWPDEA901,230,1
30,밴드 맨투맨 티셔츠,L,1
31,에폴디 10cm 에나멜 가보시 통굽 메리제인 스트랩 하이힐,240,1
32,USA 맨투맨 티셔츠 아이보리,L,2
33,미첼 루즈핏 밴딩 조거 팬츠,S,1
34,나카다카토 Slip-on 슬립온 리이슈 98 SP LX,240,1
35,클래식 라이트 러닝화 HPCR5EA801,230,1
36,러카 링클프리 밴딩 하프 슬랙스,L,2
37,FTLA205 디어 후드 티셔츠,M,1
37,리엔테 레이스업 베이직 워커부츠 5cm,230,1
37,밴드 맨투맨 티셔츠,L,1
37,코듀로이 토캡 스니커즈 HPCR3D403U,240,1
38,USA 맨투맨 티셔츠 아이보리,M,1
39,리본 플랫폼 스니커즈 HPWPDEA901,250,1
40,나카다카토 Slip-on 슬립온 리이슈 98 SP LX,240,1
41,코듀로이 토캡 스니커즈 HPCR3D403U,230,1
42,리본 플랫폼 스니커즈 HPWPDEA901,240,2
43,M5002VB 브로츠와프 오버핏 1020g 워싱 헤비원단 후드 집업 밴타블랙,FREE,1
44,클래식 라이트 러닝화 HPCR5EA801,240,1
45,로버트 원턱 밴딩 팬츠,FREE,1
