주문 식별자,상품명,사이즈,수량
1,터그 린넨 반밴딩 슬랙스,L,1
2,스웨이드 Classic Slip-on 클래식 슬립온,230,1
3,코어클래식 Slip-On 솔리드 슬립온,230,1
4,터그 린넨 반밴딩 슬랙스,L,1
5,포켓 후드 울 패딩 점퍼,M,1
5,에임스 스퀘어토 뮬 블로퍼 힐,250,1
6,유니버스 누빔 점퍼,FREE,1
7,에임스 스퀘어토 뮬 블로퍼 힐,250,1
8,에임스 스퀘어토 뮬 블로퍼 힐,230,1
9,유니버스 누빔 점퍼,FREE,1
10,이블렛 데일텐 레이스업 워커 제이스타일,230,1
10,스웨이드 Classic Slip-on 클래식 슬립온,240,1
11,UPSS205 아스터 린넨 밴딩 슬랙스,L,1
12,포켓 후드 울 패딩 점퍼,M,1
13,터그 린넨 반밴딩 슬랙스,L,1
14,터그 린넨 반밴딩 슬랙스,M,1
15,프런 단추 후드 자켓,FREE,1
16,터그 린넨 반밴딩 슬랙스,S,1
17,이중지 세미오버핏 단추 점퍼,FREE,1
18,프런 단추 후드 자켓,FREE,1
19,로에 쥬얼 포인 랩 니트,S,1
20,유니버스 누빔 점퍼,FREE,1
21,로에 쥬얼 포인 랩 니트,S,1
22,이중지 세미오버핏 단추 점퍼,FREE,1
23,로에 쥬얼 포인 랩 니트,M,1
24,로에 쥬얼 포인 랩 니트,M,2
