주문 식별자,상품명,사이즈,수량
1,아디다스 핸드볼 스페지알 코어 블랙 클리어 핑크 IE5897 FLADEA3U23,240,1
2,푸퍼 패딩 슬립온 HPCV7EFV01,230,1
2,반스 올드스쿨 VN000D3HY28,240,1
3,모리 특양면 시바견 맨투맨,M,1
3,폴리 캔버스 스니커즈 2cm,250,1
4,컨버스 런스타 하이크 OX 로우,240,1
5,미첼 루즈핏 밴딩 조거 팬츠,M,1
6,모리 특양면 시바견 맨투맨,M,1
7,푸퍼 패딩 슬립온 HPCV7EFV01,230,1
8,반스 올드스쿨 VN000D3HY28,240,1
9,푸퍼 패딩 슬립온 HPCV7EFV01,240,1
10,모리 특양면 시바견 맨투맨,M,1
11,토비 폴딩 롱 부츠,240,1
12,로스엔젤레스 양털 후드티,S,2
12,미첼 루즈핏 밴딩 조거 팬츠,S,1
12,엘토 스트레이트 밴딩 슬랙스,S,1
13,케미 와이드 밴딩 팬츠,FREE,1
14,리엔테 레이스업 베이직 워커부츠 5cm,230,1
15,모리 특양면 시바견 맨투맨,S,1
16,푸퍼 패딩 슬립온 HPCV7EFV01,250,1
17,뉴욕시티 특양면 맨투맨,L,1
18,캐주얼 스포티 유니크 통굽 운동화,230,1
19,밴드 맨투맨 티셔츠,S,1
20,뉴욕시티 특양면 맨투맨,S,1
21,로스엔젤레스 양털 후드티,L,2
22,캐주얼 스포티 유니크 통굽 운동화,230,1
23,뉴욕시티 특양면 맨투맨,L,1
24,데이브 조거 트레이닝 팬츠,FREE,1
25,아디다스 핸드볼 스페지알 코어 블랙 클리어 핑크 IE5897 FLADEA3U23,230,1
26,모리 특양면 시바견 맨투맨,L,1
27,STEH203 포커스 팝포인트 후드,FREE,1
28,컨버스 척 70 클래식 로우,240,1
28,토비 폴딩 롱 부츠,230,1
29,STEH203 포커스 팝포인트 후드,FREE,1
30,로스엔젤레스 양털 후드티,M,1
31,미첼 루즈핏 밴딩 조거 팬츠,L,1
32,토마스 단가라 라운드 니트,M,1
33,토마스 단가라 라운드 니트,S,1
34,리엔테 레이스업 베이직 워커부츠 5cm,240,1
35,토비 폴딩 롱 부츠,230,1
36,엘토 스트레이트 밴딩 슬랙스,L,1
36,토마스 단가라 라운드 니트,M,1
37,엘토 스트레이트 밴딩 슬랙스,L,1
38,리엔테 레이스업 베이직 워커부츠 5cm,240,1
39,토마스 단가라 라운드 니트,M,1
40,토마스 단가라 라운드 니트,S,1
