주문 식별자,상품명,사이즈,수량
1,크렉턴 루즈핏 무스탕,FREE,1
2,타우 기모 후드 티셔츠,L,1
3,크렉턴 루즈핏 무스탕,FREE,1
4,나비드 노르딕 울 니트 빈티지 후드,S,1
5,나비드 노르딕 울 니트 빈티지 후드,M,1
5,타우 기모 후드 티셔츠,S,1
6,누메로 밴딩 와이드 팬츠,M,1
6,펌슨 리버서블 양털 점퍼,M,1
7,돌레스 후드 항공 점퍼,M,1
8,디애나 와이드 밴딩 청바지,L,1
8,키높이 어그 퍼 부츠 EBAL147765,230,1
8,펌슨 리버서블 양털 점퍼,S,1
9,펌슨 리버서블 양털 점퍼,S,1
10,X자 메리제인 발레 스니커즈 HPWPDEF905,230,1
11,돌레스 후드 항공 점퍼,S,1
12,X자 메리제인 발레 스니커즈 HPWPDEF905,230,1
13,X자 메리제인 발레 스니커즈 HPWPDEF905,250,2
14,누메로 밴딩 와이드 팬츠,L,1
15,디애나 와이드 밴딩 청바지,M,1
16,프로즌 울 패딩 점퍼,S,1
17,프로즌 울 패딩 점퍼,S,1
18,프로즌 울 패딩 점퍼,M,1
19,프로즌 울 패딩 점퍼,M,2
20,에일 단가라 부클 니트,FREE,2
21,펌슨 리버서블 양털 점퍼,L,1
22,알레스카 양털 패딩,S,3
23,알레스카 양털 패딩,M,1
23,에일 단가라 부클 니트,FREE,1
24,펌슨 리버서블 양털 점퍼,M,1
25,알레스카 양털 패딩,L,1
26,알레스카 양털 패딩,L,1
27,프로즌 울 패딩 점퍼,L,1
28,돌레스 후드 항공 점퍼,S,1
29,프로즌 울 패딩 점퍼,L,1
30,프로즌 울 패딩 점퍼,L,1
31,타우 기모 후드 티셔츠,M,2
32,에일 단가라 부클 니트,FREE,1
33,에일 단가라 부클 니트,FREE,1
34,돌레스 후드 항공 점퍼,L,1
35,돌레스 후드 항공 점퍼,L,2
36,알레스카 양털 패딩,M,1
37,알레스카 양털 패딩,M,1
38,돌레스 후드 항공 점퍼,M,1
38,펌슨 리버서블 양털 점퍼,L,1
39,펌슨 리버서블 양털 점퍼,M,1
40,알레스카 양털 패딩,L,1
40,키높이 어그 퍼 부츠 EBAL147765,250,1
40,프로즌 울 패딩 점퍼,S,1
41,펌슨 리버서블 양털 점퍼,L,1
42,키높이 어그 퍼 부츠 EBAL147765,230,1
43,돌레스 후드 항공 점퍼,M,1
44,돌레스 후드 항공 점퍼,S,1
45,디애나 와이드 밴딩 청바지,L,1
45,펌슨 리버서블 양털 점퍼,S,1
