주문 식별자,상품명,사이즈,수량
1,스니커즈 에테르 ETER,230,1
2,스니커즈 에테르 ETER,240,1
3,컨버스 척 70 클래식 로우,240,1
4,리라 캔버스 통굽 퍼안감 스니커즈 4.5cm,230,1
5,에폴디 10cm 에나멜 가보시 통굽 메리제인 스트랩 하이힐,240,1
6,폴리 캔버스 스니커즈 2cm,240,1
7,폴리 캔버스 스니커즈 2cm,240,1
8,폴리 캔버스 스니커즈 2cm,250,1
9,리라 캔버스 통굽 퍼안감 스니커즈 4.5cm,240,1
10,리라 캔버스 통굽 퍼안감 스니커즈 4.5cm,240,1
11,에폴디 10cm 에나멜 가보시 통굽 메리제인 스트랩 하이힐,250,1
12,컨버스 런스타 하이크 OX 로우,230,1
13,폴리 캔버스 스니커즈 2cm,240,1
13,스니커즈 에테르 ETER,250,1
14,에폴디 10cm 에나멜 가보시 통굽 메리제인 스트랩 하이힐,240,1
15,컨버스 척 70 클래식 로우,230,1
15,에폴디 10cm 에나멜 가보시 통굽 메리제인 스트랩 하이힐,240,1
15,리라 캔버스 통굽 퍼안감 스니커즈 4.5cm,230,1
