주문 식별자,상품명,사이즈,수량
1,MTE 섀그 스웨이드 Slip-On Reissue 슬립온 리이슈 98,250,1
2,SPTC305 아인츠 생지 밴딩 팬츠,M,1
3,SPTC305 아인츠 생지 밴딩 팬츠,S,1
4,컨버스 척테일러 70 클래식 하이,250,2
5,SPTC305 아인츠 생지 밴딩 팬츠,S,1
6,라이트웨이드 후드 패딩 점퍼,L,1
7,SPTC305 아인츠 생지 밴딩 팬츠,M,1
8,라이트웨이드 후드 패딩 점퍼,S,1
9,SPTC305 아인츠 생지 밴딩 팬츠,L,2
10,컨버스 척테일러 70 클래식 하이,230,1
11,컨버스 척테일러 70 클래식 하이,230,1
12,MTE 섀그 스웨이드 Slip-On Reissue 슬립온 리이슈 98,230,1
13,스케이트 Slip-on 슬립온,230,1
14,컨버스 척테일러 70 클래식 하이,240,1
15,MTE 섀그 스웨이드 Slip-On Reissue 슬립온 리이슈 98,230,1
15,컨버스 척테일러 70 클래식 하이,250,1
16,MTE 섀그 스웨이드 Slip-On Reissue 슬립온 리이슈 98,230,1
17,MTE 섀그 스웨이드 Slip-On Reissue 슬립온 리이슈 98,250,1
18,라이트웨이드 후드 패딩 점퍼,M,1
19,라이트웨이드 후드 패딩 점퍼,M,1
20,컨버스 척테일러 70 클래식 하이,240,1
21,MTE 섀그 스웨이드 Slip-On Reissue 슬립온 리이슈 98,240,2
22,스케이트 Slip-on 슬립온,230,1
23,스케이트 Slip-on 슬립온,230,1
23,컨버스 척테일러 70 클래식 하이,240,1
24,라이트웨이드 후드 패딩 점퍼,L,1
25,스케이트 Slip-on 슬립온,240,1
26,스케이트 Slip-on 슬립온,250,2
27,라이트웨이드 후드 패딩 점퍼,L,1
28,MTE 섀그 스웨이드 Slip-On Reissue 슬립온 리이슈 98,250,1
29,SPTC305 아인츠 생지 밴딩 팬츠,M,1
30,라이트웨이드 후드 패딩 점퍼,S,1
31,SPTC305 아인츠 생지 밴딩 팬츠,S,1
