주문 식별자,상품명,사이즈,수량
1,솔트 워시 MTE Slip-on 슬립온 리이슈 98,230,1
2,유키 패딩 퍼 슬립온_B2228,250,1
3,솔트 워시 MTE Slip-on 슬립온 리이슈 98,250,1
3,레더 Classic Slip-on 클래식 슬립온,230,1
4,솔트 워시 MTE Slip-on 슬립온 리이슈 98,230,1
5,유키 패딩 퍼 슬립온_B2228,230,1
6,SPTC305 아인츠 생지 밴딩 팬츠,L,1
6,라이트웨이드 후드 패딩 점퍼,S,1
6,솔트 워시 MTE Slip-on 슬립온 리이슈 98,250,1
7,스케이트 Slip-on 슬립온,240,2
8,컨버스 척테일러 70 클래식 하이,230,1
9,레더 Classic Slip-on 클래식 슬립온,230,1
10,스케이트 Slip-on 슬립온,250,1
11,솔트 워시 MTE Slip-on 슬립온 리이슈 98,250,1
12,레더 Classic Slip-on 클래식 슬립온,250,1
13,솔트 워시 MTE Slip-on 슬립온 리이슈 98,230,1
14,솔트 워시 MTE Slip-on 슬립온 리이슈 98,240,2
15,유키 패딩 퍼 슬립온_B2228,240,1
16,MTE 섀그 스웨이드 Slip-On Reissue 슬립온 리이슈 98,240,1
16,비드 소매포인트 패딩 점퍼,FREE,1
17,라이트웨이드 후드 패딩 점퍼,M,1
18,레더 Classic Slip-on 클래식 슬립온,240,1
19,레더 Classic Slip-on 클래식 슬립온,230,1
20,레더 Classic Slip-on 클래식 슬립온,240,1
21,유키 패딩 퍼 슬립온_B2228,250,1
22,비드 소매포인트 패딩 점퍼,FREE,1
23,비드 소매포인트 패딩 점퍼,FREE,1
24,유키 패딩 퍼 슬립온_B2228,230,2
