주문 식별자,상품명,사이즈,수량
1,아디다스 가젤 볼드 W ID7056,230,1
2,STEH203 포커스 팝포인트 후드,M,1
3,센세이션 셔링 패딩 점퍼,FREE,1
4,타우 기모 후드 티셔츠,L,1
5,히트 양털 후리스 반집업,M,1
6,키로프 니트 투웨이 집업,S,1
6,디애나 와이드 밴딩 청바지,S,1
7,키높이 어그 퍼 부츠 EBAL147765,250,1
8,오슬러 양털 투웨이 집업,M,1
9,누메로 밴딩 와이드 팬츠,L,1
10,히트 양털 후리스 반집업,L,1
10,포제 셔링 스웨이드 롱부츠,230,1
10,F21P013 샐리 메리제인 사이드오픈 펌프스,240,1
11,포제 셔링 스웨이드 롱부츠,240,1
12,누메로 밴딩 와이드 팬츠,S,1
13,히트 양털 후리스 반집업,S,1
14,다트 미니멀 오버핏 자켓,S,1
15,F21P013 샐리 메리제인 사이드오픈 펌프스,230,1
16,COMFY.EZ 맥스 워킹화 HPCR5FA312,240,2
17,키높이 어그 퍼 부츠 EBAL147765,240,1
18,다트 미니멀 오버핏 자켓,L,1
19,키높이 어그 퍼 부츠 EBAL147765,230,1
20,누메로 밴딩 와이드 팬츠,S,1
21,히트 양털 후리스 반집업,M,1
22,마일드 리프트 스니커즈 HPCR3FA305,240,1
23,센세이션 셔링 패딩 점퍼,FREE,1
24,타우 기모 후드 티셔츠,M,1
25,타우 기모 후드 티셔츠,S,2
26,디애나 와이드 밴딩 청바지,L,1
26,다트 미니멀 오버핏 자켓,M,1
27,크렉턴 루즈핏 무스탕,FREE,1
27,누메로 밴딩 와이드 팬츠,M,1
28,나비드 노르딕 울 니트 빈티지 후드,L,3
29,누메로 밴딩 와이드 팬츠,S,1
30,누메로 밴딩 와이드 팬츠,L,1
31,코너스 꽈베기 투웨이 니트집업,FREE,2
32,나비드 노르딕 울 니트 빈티지 후드,M,1
33,디애나 와이드 밴딩 청바지,M,2
34,디애나 와이드 밴딩 청바지,S,1
34,누메로 밴딩 와이드 팬츠,M,1
34,SPLN301 디스 링클프리 히든밴딩 슬랙스,S,1
35,고프코어 스니커즈 EBAL147110,230,1
36,포제 셔링 스웨이드 롱부츠,240,1
37,나비드 노르딕 울 니트 빈티지 후드,S,1
38,키높이 어그 퍼 부츠 EBAL147765,240,1
39,타우 기모 후드 티셔츠,L,1
40,키높이 어그 퍼 부츠 EBAL147765,240,1
41,나비드 노르딕 울 니트 빈티지 후드,M,1
42,SPLN301 디스 링클프리 히든밴딩 슬랙스,M,1
43,디애나 와이드 밴딩 청바지,S,1
44,다트 미니멀 오버핏 자켓,S,1
45,X자 메리제인 발레 스니커즈 HPWPDEF905,230,1
45,X자 메리제인 발레 스니커즈 HPWPDEF905,240,3
45,X자 메리제인 발레 스니커즈 HPWPDEF905,250,1
46,키높이 어그 퍼 부츠 EBAL147765,250,1
47,오슬러 양털 투웨이 집업,L,2
48,나비드 노르딕 울 니트 빈티지 후드,S,1
48,SPLN301 디스 링클프리 히든밴딩 슬랙스,M,1
49,STEH203 포커스 팝포인트 후드,S,1
50,SPID306 라딘 밴딩 린넨 팬츠,L,1
